slippery as an eel;aalglatt
increase (n.);Anstieg (m., -e)
strain, exert, bring legal action;anstrengen
share, portion, sympathy;Anteil (m., -e)
sympathy with or for;Anteilnahme an (f., -n)
antique;antik
countenance;Antlitz (n.) 
proposal, proposition;Antrag (m., ¨-e)
impel, drive on, incite;antreiben
set out on journey, fall in, enter office;antreten
prompting, impetus, stimulus, instigation;Antrieb (m.)
answer, reply;antworten (dativ)
entrust with, confide in;anvertrauen
mood;Anwandlung (f., -en)
allocate, allot, process for payment;anweisen
writ, order, instruction, directive;Anweisung (f., -en)
apply, operate, use, dispose;anwenden
property, estate;Anwesen (n.)
attendance, presence;Anwesenheit (f.)
number (n.);Anzahl (f.)
indication, omen;Anzeichen (n., --)
display, notice, advertisement;Anzeige (f., -n)
machinate (???);anzetteln
attract, pull, dress;anziehen
attraction;Anziehung (f., -en)
suit (n.);Anzug (m., ¨-e)
light, kindle, ignite;anzünden
orange (n.);Apfelsinne (f., -n)
appeal for, appeal to;appellieren an
job, workstation, workplace;Arbeitsplatz (m., ¨-en)
badly, awfully;arg
annoying, aggravating, vexing;ärgerlich
make angry, annoy, vex;ärgern
unsuspecting, guileless, innocent;arglos
argument, case for, rationale;Argument (n., -e)
suspicion, mistrust;Argwohn (m.)
dashboard;Armaturenbrett (n.)
sleeve;Ärmel (m., --)
poor, wretched;armselig
type, kind;Art (f., -en)
medical;ärtzlich
film speed;ASA or DIN
ashtray;Aschenbecher (m., --)
bough, branch, limb;Ast (m., ¨-e)
breath;Atem (m.)
breathtaking;Atem beraubend
breath (v.);atmen
attempt on someone's life;Attentat (n., -e)
etch, cauterize, corrode;ätzen
Oh no, not that!;Auch das noch! 
at;auf
at risk, at stake;auf dem Spiel
right away;auf der Stelle
by so doing, in this way;auf diese Weise
somehow or other;auf irgendeine Art
at every turn;auf Schritt und Tritt
on patrol;auf Streife
Good-bye! [telephone];Auf Wiederhören! 
Good-bye!;Auf Wiedersehen! 
pay attention to, keep an eye on;aufachten
breathe again, respire;aufatmen
erect, build, construct;aufbauen
untie, loose;aufbinden
pull so.'s leg, hoodwink, fool;aufbinden, jmdm. einen Bären
annoy, bring up, afford, ante up;aufbringen
departure;Aufbruch (m., ¨-e)
brew (as in coffee);aufbrühen
uncover, unveil;aufdecken
stay, visit (n.);Aufenthalt (m., -e)
whereabouts, residence, habitation;Aufenthaltsort (m., ¨-e)
rise from the dead;auferstehen
driveway;Auffahrt (f., ¨-e)
stand out, attract notice or attention, strike s.o.;auffallen (dativ)
striking, conspicuous, flashy;auffallend
understand, interpret as;auffassen
concept, view, interpretation;Auffassung (f., -en)
grasp, perception, apprehension;Auffassungsgabe (f., -n)
summon, request, ask;auffordern
brush up, refresh, renew;auffrischen
field or scope of duties;Aufgabbereich (m.)
task, exercise, problem;Aufgabe (f., -n)
give up, abandon, relinquish;aufgeben
excited, enraged;aufgeregt
seize;aufgreifen
on the basis of, as a result of;aufgrund
linger, delay, hold door open, detain, arrest;aufhalten
lift up, repeal, rescind, annul;aufheben
catch up, regain, make up for;aufholen
cease, stop;aufhören
enlighten, clear up;aufklären
roll up (sleeves);aufkrempeln
revoke, recall, foreclose, cancel;aufkündigen
print run, edition, circulation;Auflage (f.)
accumulate, accrue, run aground;auflaufen
publish, reissue, apply, hang up;auflegen
liquidate, dissolve, disintegrate;auflösen
denouement, dissolution, closure, resolution;Auflösung (f., -en)
open up (e.g., a window), unclasp;aufmachen
parade (military);Aufmarsch (m., ¨-e)
observant, attentive;aufmerksam
exposure;Aufnahme (f., -n)
take up, focus on, begin;aufnehmen
resume, revive;aufnehmen wieder
pay attention, heed, watch, observe;aufpassen
burst;aufplatzen
ruffle one's feathers;aufplustern sich
muster the energy for, rouse oneself for;aufraffen
clean up;aufräumen
excite, enrage;aufregen
get upset;aufregen sich
rip open, tear open, lacerate;aufreißen
sit up, prop up , erect;aufrichten
sincere, cordial, candid, earnest;aufrichtig
summon, call upon;aufrufen
rearm, set up;aufrüsten
attachment, essay, composition;Aufsatz (m. ¨-e)
defer, postpone, push off;aufschieben
unlock, open;aufschließen
disclosure, information, pulp;Aufschluß (m., ¨ -sse)
insightful, illuminating, instructive;aufschlussreich
cold cuts;Aufschnitt (m.)
outcry, scream, shout (n.);Aufschrei (m. , -e)
postponement, procrastination;Aufschub (m., ¨-e)
rebound, recovery, boom;Aufschwung (m.)
overseer, inspector, supervisor;Aufseher (m., --)
attach, draw up, set down (aviation);aufsetzen
board of directors;Aufsichtsrat (m., ¨-e)
split up, break up;aufspalten
track, trace;aufspüren
rebellion, insurrection;Aufstand (m., ¨-e)
give up;aufstecken
stand up, rebel;aufstehen
mount, arrange, put up;aufstellen
ascent, rise (n.);Aufstieg (m., -e)
track down;aufstöbern
call on, to frequent, haunt;aufsuchen
prelude, opening;Auftakt (m., -e)
emerge, appear, surface;auftauchen
mission, assignment;Auftrag (m., ¨-e)
raise money, procure, get hold of, find;auftreiben
step upon, come across, emerge;auftreten
cost, outlay, effort, expense;Aufwand (m., ¨-e)
show, display;aufweisen
pose, raise (as in a question);aufwerfen
enumerate, specify, itemize;aufzählen
log, chronicle, record, recount;aufzeichnen
tease, joke with, foster, rear;aufziehen
elevator;Aufzug (m., ¨-e)
eyeball;Augapfel (m. ¨-e)
instantly, in a moment;augenblicklich
eye-level;augenhöhe
eyewitness;Augenzeuge (m., -n)
auditorium, assembly hall;Aula (f.)
from;aus
from afar;aus der Ferne
degenerate, get out of hand;ausarten
upgrade, expand, enlarge, dismantle;ausbauen
mend, darn, repair, remodel;ausbessern
exploit, yield, prey, play out;ausbeuten
train, drill (v.);ausbilden
view (n.);Ausblick (m, -e)
break out, burst out (as in tears), erupt;ausbrechen
spread, unfurl, expand;ausbreiten
burn the inside of, cauterize;ausbrennen
endurance, stamina, patience;Ausdauer (f.)
conceive, invent, make up, devise;ausdenken
expression;Ausdruck (m., ¨-e)
express, clearly delineated (adj.);ausdrücklich
thin out;ausdünnen
odor, evaporation, perspiration, exhalation;Ausdünstung (f., -en)
apart, asunder;auseinander
fall apart;auseinanderfallen
dismantle, disassemble;auseinandernehmen
fall out, be cancelled;ausfallen
outing;Ausflug (m., ¨-e)
execute, carry out, fulfill;ausführen
extensive, in detail, elaborate;ausführlich
workmanship, execution, model;Ausführung (f., -en)
upshot, result, exit, egress;Ausgang (m., ¨-e)
distribute, expend, give out, issue;ausgeben
fully booked;ausgebucht
go out, turn out;ausgehen
gay, in high spirits, exuberant, boisterous;ausgelassen
That of all things!;Ausgerechnet! 
equipped with, outfitted with;ausgestattet mit
designated, identified, declared;ausgewiesen
balanced;ausgewogen
even out, counterbalance, make up for;ausgleichen
stand, bear, tolerate, endure, hold out;aushalten
cancel, annul, nullify;aushebeln
figure sth. Out;ausknobeln
information, intelligence, help;Auskunft (f., ¨-e)
outlay, expense;Auslage (f., -n)
disburse, outlay, construe, interpret;auslagen
foreign;ausländisch
leave out, omit, skip;auslassen
surrender, extradite, hand over;ausliefern
snuff out, extinguish, annihilate;auslöschen
raffle, draw lots for;auslosen
redeem, ransom, release, produce;auslösen
plumb, fathom;ausloten
spot, arrange, extinguish, account for;ausmachen
dimension, scale, magnitude;Ausmaß (n., -e)
emaciate, exhaust;ausmerzeln
expunge, eradicate;ausmerzen
exception;Ausnahme (f., -n)
exempt, exclude, take out;ausnehmen
unpack, open up, talk freely;auspacken
specification, occurrence, characteristic;Ausprägung (f., -en)
try out;ausprobieren
exhaust, exhaust pipe;Auspuff (m., ¨-e)
discard, scrap;ausrangieren
clear out, separate from (fig.);ausräumen
calculate;ausrechnen
pretext, subterfuge, excuse;Ausrede (f., -n)
make excuses;ausreden
suffice;ausreichen
sufficient, adequate;ausreichend
seed capital;Ausreifung (f., -en)
pluck, pull out;ausreißen
run away;ausreißen sich
arrange, align, relay, relate;ausrichten
justification, alignment;Ausrichtung (f., -en)
eradicate, exterminate;ausrotten
call out;ausrufen
rest, take a rest;ausruhen
equip, furnish, outfit;ausrüsten
gaffe, slip-up;Ausrutscher (m., --)
declare, utter, depose, give evidence;aussagen
switch or turn off, power down;ausschalten
withdraw, retire, resign, quit, eliminate;ausscheiden
exclusively, solely;ausschießlich
sleep in, sleep late;ausschlafen
rash, eruption (n.);Ausschlag (m., ¨-e)
lock out;ausschließen
bar, exclude, expel, disqualify;ausschließen
scoop, bail, exhaust;ausschopfen
rioting, excesses;Ausschreitungen (pl.)
committee, board, scrap, junk;Ausschuss (m., ¨-sse ??)
pour out, spill;ausschütten
debauched, dissolute, excessive;ausschweifend
excesses;Ausschweifungen (pl.)
seem, appear;aussehen
appearance, looks;Aussehen (n., --)
outskirts, periphery, suburb;Außenbezirk (m.)
except;außer
moreover, besides, except for;außerdem
outside (adj.);äußerhalb
exterior (adj.);äußerlich
utter, express, opine;äußern
extraordinary, exceptional;ausserordentlich
utter, outermost, most remote, extreme;äußerst
unable, incapable;außerstande
utterance, remark, observation;Äußerung (f., -en)
view, prospect (n.);Aussicht (f., -en)
futile, hopeless, pointless;aussichtslos
promising;aussichtsvoll
shut out;aussperren
pronounce, speak one's mind;aussprechen
bedeck, outfit, accouter;ausstaffieren
furnishings, layout, setting;Ausstattung (f., -en)
get out, alight, disembark;aussteigen
exhibit, display (v.);ausstellen
exposition, fair, exhibition, display;Ausstellung (f., -en)
withdrawal, opting out (n.);Ausstieg (m., -e)
emit exhaust, push out;ausstoßen
radiate, emit, air, broadcast;ausstrahlen
reach out, extend, stretch;ausstrecken
select, pick, cull, choose;aussuchen
barter, exchange;austauschen
oyster;Auster (f., -n)
site of an athletic event, Olympic site;Austragungsort (m., -e)
exercise, practice, follow;ausüben
sale, discount, clearance;Ausverkauf (m., ¨-e)
sold out, out of stock;ausverkauft
assortment, variety, selection, choice;Auswahl (f., ¨-e)
emigrate;auswandern
sumptuous, lavish, costly, extravagant;auswändig
from outside, nonresident;auswärtig
way out, loophole, resource, resort;Ausweg (m., -e)
dodge, sidestep, swerve, avoid, miss;ausweichen (dativ)
identification card;Ausweis (m., -e)
identify, designate, declare;ausweisen
outcome;Ausweitung (f., -en)
analysis, appraisal, examination, summary;Auswertung (f., -en)
balance out;auswiegen
affect, influence, have an impact on;auswirken
wring out;auswringeln
doff, take off, extract, move or check out;ausziehen
undress;ausziehen sich
authorize;autorisieren
brook, stream, creek;Bach (m., ¨-e)
cheek;Backe (f., -n)
bake;backen
pioneer, trailblazer;Bahnbrecher (m., --)
clear, open up, pave the way;bahnen
first … then;bald …bald
scuffle, wrestle;balgen
volume, book;Band (m., ¨-e)
bond, ribbon;Band (n., -e, ¨-er)
band, horde, gang;Bande (f., -n)
anxious, worried about;bange um
banker;Bankier (m., --)
bank note;Banknote (f., -n)
spell, ban;Bann (m., ¨-e)
in cash;bar
barefoot;barfuß
cash;Bargeld (n.)
charity, mercy;Barmherzigkeit (f.)
base on;basieren
tinker, work on a hobby;basteln
battery;Batterie (f., -n)
construct, erect;bauen
architecture;Baukunst (f.)
tree trunk;Baumstamm (m., ¨-e)
pay attention to, attend to;beachten
noticeable, remarkable, striking, notable;beachtlich
official;Beamte (m., -n)
apply for, request, requisition;beantragen
reply to, answer;beantworten
commission, charge, authorize;beauftragen
quake, tremor, tremble;Beben (n., --)
quaky, quivering, tremulous;bebend
chalice, beaker, mug, cup, tumbler;Becher (m., --)
thoughtful, considerate;bedacht
deliberate, cautious, circumspect;bedächtig
demand-oriented, just in time;bedarfsorientiert
just in time production;bedarfsorientierte Fertigung
just in time delivery;bedarfsorientierte Lieferung
regrettable, unfortunate;bedauerlich
regret, be sorry, pity, lament;bedauern
regretful, worrying, commiserative;bedauernd 
deliberate, consider, bear in mind;bedenken
dubious, risky, grave;bedenklich
respite, time to consider;Bedenkzeit (f., -en)
signify, mean, direct, order;bedeuten
significant, important;bedeutend
sense of, impact, relevance, significance;Bedeutung (f., -en)
meaningless, irrelevant;bedeutungslos
insignificance, meaningless;Bedeutungslosigkeit (f., -en)
serve, attend, wait on;bedienen
conditional;bedingt
condition, stipulation, term;Bedingung (f., -en)
pester, hassle, beset, besiege;bedrängen
hardship, distress;Bedrängnis (f., -sse)
menacing, forbidding, threatening;bedrohlich
oppress, depress;bedrücken
requirement;Bedürfnis (n., -sse)
impress;beeindrucken
influence;beeinflussen
curtail, detract from, injure, interfere with;beeinträchtigen
end, finish, conclude;beenden
drivable, passable (travel);befahrbar
travel over, pass over;befahren
cruise, sail;befahren
bashful, embarrassed, prejudiced;befangen
touch, handle;befassen
order, command, instruction (n.);Befehl (m., -e)
request, order, command;befehlen
authority;Befehlsgewalt (f.)
commander;Befehlshaber (f., --)
fortify, pave, brace, steady, secure;befestigen
mounted, attached, fortified;befestigt
is situated, to stand, to reside;befinden sich
blemish, stain, sully, tarnish;beflecken
obey, comply with, follow;befolgen
dispatch, forward, promote;befördern
to question, interview;befragen
set free, rescue;befreien
satisfy, satiate;befrieden
reprieve;befristen
terminable, temporary, short-term;befristet
fear, be afraid of (anxiety, anticipation);befürchten
misgiving, fear;Befürchtung (f., -en)
support, endorse;befürworten
talented, gifted;begabt
gift, talent;Begabung (f., -en)
issue, negotiate, endorse;begeben
betake, adjourn to;begeben sich
meet with, encounter, inspire, befall;begegnen (dativ)
commit, perpetrate;begehen
covet, seek, demand, desire;begehren
desirable, coveted;begehrenswert
inspire;begeistern
zeal, enthusiasm;Begeisterung (f.)
eagerness, appetite, craving, lust;Begierde (f., -n)
eager, anxious;begierig
begin;beginnen (beginnt, begann, begonnon)
accompany, escort;begleiten
pardon, reprieve;begnadigen
satisfy, make do with;begnügen
be content with;begnügen sich mit
bury, inter;begraben
burial, funeral;Begräbnis (n., -sse)
understand, grasp, comprehend;begreifen
comprehensible, understandable;begreiflich
confine, restrict, bound, border, limit;begrenzen
notion, concept;Begriff (m., -e)
base on, justify, account for;begründen
greet., salute, welcome;begrüßen
abet, favor, promote, pander;begünstigen
preferential treatment, bestowal;Begünstigung (f., -en)
keep, retain, remember;behalten
treat, handle;behandeln
persevere, insist;beharren
persistent, persevering;beharrlich
claim, assert, maintain, affirm;behaupten
repair, remedy, solve, remove;beheben
trouble, molest, disturb, bother;behelligen
rule, govern, dominate;beherrschen
obstruct, handicap, hinder;behindern
the authorities;Behörde (f., -n)
shelter or protect from;behüten vor
cautious, careful, gentle;behutsam
at nightfall;bei Anbruch der Nacht
retain, maintain, keep;beibehalten
both;beide
applause;Beifall (m.)
attach, annex, append, enclose;beifügen
hatchet;Beil (n., -e)
join, add, enclose in letter;beilegen
condolence;Beileid (n.)
unaffected, as is, unchanged;beim Alten
almost, nearly;beinahe
example;Beispiel (n., -e)
bite;beißen (beißt, biß, gebissen)
assistance;Beistand (m.)
agree, agree with;beistimmen
dues, contribution;Beitrag (m., ¨-e)
contribute, be conducive to;beitragen
join a club, partner with;beitreten
aged;bejahrt
famous, well known, acquainted with;bekannt
acquaintance;Bekannte (f., -n)
profess, confess;bekennen
avowal, confession;Bekenntnis (n., -sse)
get stoned;bekiffen
bewail, complain;beklagen sich
woeful, lamentable, deplorable;beklagenswert
oppress;beklemmen
oppressive, eerie;beklemmend
get, obtain, receive;bekommen
corroborate, confirm;bekräftigen
wreathe, festoon;bekränzen
make war, wage war;bekriegen
grieve, distress;bekümmern
affliction;Bekümmernis (f., -sse)
manifest, evince, show, declare;bekunden
besiege, beleaguer, siege, beset;belagern
incriminate, charge, burden, strain;belasten
leafy, in leaf;belaubt
amount to, come to;belaufen
amount to, add up to, aggregate to, sum to;belaufen sich auf
overhear, eavesdrop;belauschen
animate, enliven;beleben
register, cover;belegen
workforce, staff, personnel;Belegschaft (f., -en)
sandwich;belegte Brote (pl.)
offend, insult, affront;beleidigen
offense, insult, libel, affront;Beleidigung (f., -en)
well-read, erudite, literate;belesen
illuminate, light;beleuchten
please, like, choose;belieben
optional, any, whatever;beliebig
popular, well-liked;beliebt
bark, bay (v.);bellen
reward;belohnen
amuse;belustigen
usurp, take possession of;bemächtigen sich
observe, perceive, notice;bemerken
noteworthy, striking, remarkable;bemerkenswert
strive, take pains, endeavor;bemühigen sich
effort, endeavor (n.);Bemühung (f. -en)
notify, inform, apprise, advise, alert;benachrichtigen
fuzzy, muddled, fuddled;benebelt
behave, act;benehmen
conduct, behavior, demeanor, deportment;Benehmen (n.)
call, name, denominate, term;benennen
to wet, bathe;benetzen
rascal, urchin;Bengel (m., --)
need, require;benötigen
use;benutzen
fumes, car exhaust;Benzindämpfe (pl.)
watch, observe;beobachten
observation, monitoring, surveillance;Beobachtung (f.)
comfortable;bequem
advise, counsel;beraten
consultant, advisor;Berater (m., --)
council, deliberation;Beratung (f., -en)
deprive of, rape, rob, denude;berauben
rob, deprive, denude;berauben
exhilarating, heady, intoxicating;berauschend
calculate, compute;berechnen
calculation;Berechnung (f., -en)
authority, right, eligibility;Berechtigung (f., -en)
eloquent;beredt
scope, extent, realm, zone, sector;Bereich (m., -e)
enrich, add to;bereichern
ready;bereit
prepare;bereiten
get ready;bereitmachen
already;bereits
provide, make ready;bereitsstellen
repent;bereuen
salvage, save, recover;bergen (birgt, barg, geborgen)
miner;Bergmann (m., ¨-er)
report, account (n.);Bericht (m., -e)
report;berichten über
burst;bersten (birst, barst, geborsten)
enchant, fascinate;berücken
take into consideration, allow for;berücksichtigen
call, convene, appoint;berufen
professional career;berufliche Werdegang
professional;berufsmäßig
file or lodge an appeal;Berufung einlegen (f., -en)
base on, rest on, depend on (logic);beruhen auf
reassure, pacify, calm;beruhigen
famous;berühmt
stardom, famousness, celebrity status;Berühmtheit (f.)
touch, finger, strike a chord, allude to;berühren
contact, touch (n.);Berührung (f., -en)
crew, garrison;Besatzung (f., -en)
damaged, shopworn, corrupt;beschädigt
procure, get;beschaffen
employ, occupy;beschäftigen
activity, occupation;Beschäftigung (f., -en)
shade, shadow (v.);beschatten
answer, information, legal decision;Bescheid (m., -e)
inform, describe;bescheiden
modest, unassuming;bescheiden
modesty;Bescheidenheit (f.)
bestow, bring (as in grief or hardship);bescheren
fire upon, bombard;beschießen
sign (n.);Beschilderung (f., -en)
